,Completion_rate,Tuition_in_state,Tuition_out_state,Faculty_salary,Pell_grant_rate,SAT_average,ACT_50thPercentile,pct_White,pct_Black,pct_Hispanic,pct_Asian,Parents_middlesch,Parents_highsch,Parents_college
60,0.4249,27830.0,27830.0,6726.0,0.3904,961.0,21.0,0.5134,0.2035,0.0714,0.0134,0.0190930788,0.3110580748,0.6698488465
61,0.5517,35130.0,35130.0,8341.0,0.4561,886.0,20.0,0.2543,0.1515,0.3981,0.0915,0.0523338048,0.3578500707,0.5898161245
62,0.7505,32400.0,32400.0,9741.0,0.2699,1148.0,26.0,0.5856,0.0217,0.2287,0.051,0.018735363,0.2412177986,0.7400468384
63,0.4183,9125.0,20837.0,8557.0,0.4573,1011.0,22.0,0.4893,0.3744,0.047,0.0316,0.0244624494,0.3430975382,0.6324400125
64,0.3562,5437.0,13551.0,6754.0,0.3496,1030.0,22.0,0.5982,0.0888,0.074,0.0317,0.0303434478,0.3572857619,0.6123707903
65,0.7005,13077.0,19861.0,9069.0,0.3649,1052.0,22.0,0.6999,0.0709,0.1213,0.0607,0.0212024397,0.3828056927,0.5959918676
66,0.7764,38205.0,38205.0,9148.0,0.2083,1183.0,27.0,0.4458,0.0251,0.0911,0.1592,0.0199771689,0.1797945205,0.8002283105
67,0.4545,6256.0,18184.0,7852.0,0.2974,1193.0,26.0,0.5587,0.0236,0.2754,0.0262,0.0255474453,0.2700729927,0.704379562
68,0.6677,40296.0,40296.0,8954.0,0.3551,1043.0,23.0,0.3537,0.0454,0.424,0.089,0.0542740841,0.31614654,0.6295793758
69,0.3985,38750.0,38750.0,11474.0,0.3186,1018.0,22.0,0.2895,0.0625,0.2219,0.0982,0.0473372781,0.3284023669,0.624260355
70,0.398,21395.0,21395.0,5418.0,0.5727,854.0,20.0,0.0987,0.5646,0.119,0.0684,0.0519480519,0.2987012987,0.6493506494
71,0.3455,28300.0,28300.0,5379.0,0.3507,942.0,20.0,0.5835,0.2596,0.0473,0.012,0.0147559591,0.314415437,0.6708286039
72,0.6717,37650.0,37650.0,7799.0,0.2476,1120.0,25.0,0.8498,0.0387,0.0263,0.0217,0.0085324232,0.2397610922,0.7517064846
73,0.4522,10320.0,23660.0,7439.0,0.3921,996.0,21.0,0.6958,0.1987,0.0363,0.0066,0.0086417434,0.2949464588,0.6964117979
74,0.5437,26730.0,26730.0,5226.0,0.4149,1029.0,22.0,0.7587,0.1053,0.0375,0.0076,0.0228215768,0.3288381743,0.648340249
75,0.3962,5192.0,15196.0,5779.0,0.7172,875.0,18.0,0.0485,0.9003,0.0132,0.0015,0.0255952381,0.3375,0.6369047619
76,0.7273,7737.0,17587.0,6971.0,0.3145,1124.0,25.0,0.6347,0.0571,0.1685,0.0574,0.025871766,0.2887139108,0.6854143232
77,0.7734,39560.0,39560.0,10655.0,0.1612,1282.0,29.0,0.5538,0.0408,0.2069,0.0615,0.0210526316,0.1526315789,0.8263157895
78,0.5348,6887.0,23186.0,8470.0,0.2481,1126.0,25.0,0.8424,0.0066,0.0388,0.0094,0.0068772835,0.2263056093,0.7668171072
79,0.9069,12972.0,35850.0,15194.0,0.3143,1382.0,32.0,0.2758,0.0209,0.1384,0.3509,0.0655844156,0.2684415584,0.665974026
80,0.4565,7546.0,23002.0,7029.0,0.4485,1011.0,22.0,0.6662,0.2066,0.0417,0.026,0.0228966986,0.3647497338,0.6123535676
81,0.5688,22252.0,22252.0,5309.0,0.4207,981.0,21.0,0.6757,0.0721,0.0712,0.0027,0.0421313507,0.41511772,0.5427509294
82,0.5125,23748.0,23748.0,6505.0,0.3309,1026.0,22.0,0.6884,0.1118,0.088,0.0091,0.0399290151,0.3247559894,0.6353149956
83,0.4932,6767.0,11823.0,6670.0,0.3491,1047.0,23.0,0.7863,0.0664,0.0371,0.0064,0.0116230801,0.2868410129,0.701535907
84,0.5689,27900.0,27900.0,6482.0,0.3333,1158.0,26.0,0.6591,0.104,0.1019,0.0124,0.0275319567,0.3058013766,0.6666666667
85,0.1636,15456.0,15456.0,3186.0,0.4865,863.0,18.0,0.1623,0.1094,0.4925,0.0038,0.096875,0.371875,0.53125
86,0.2355,15060.0,15060.0,5134.0,0.3572,908.0,19.0,0.402,0.1667,0.2964,0.0193,0.0673900628,0.3872073101,0.5454026271
87,0.5624,24905.0,24905.0,6255.0,0.5296,1185.0,26.0,0.7979,0.0448,0.0545,0.0107,0.0259661836,0.3882850242,0.5857487923
88,0.2815,6690.0,13440.0,6861.0,0.338,990.0,21.0,0.6444,0.0435,0.0925,0.0208,0.0319371728,0.3743455497,0.5937172775
89,0.4964,8057.0,14617.0,5905.0,0.5228,1016.0,21.0,0.761,0.1038,0.0711,0.0109,0.015483871,0.3165591398,0.6679569892
90,0.3216,7078.0,12670.0,7152.0,0.4192,1028.0,22.0,0.715,0.1384,0.0246,0.0038,0.0226100754,0.3526378421,0.6247520825
91,0.5716,8750.0,14250.0,8185.0,0.2634,1050.0,23.0,0.8751,0.0225,0.0242,0.0191,0.0074863231,0.2211344659,0.7713792111
92,0.5785,7181.0,16631.0,6733.0,0.3913,1110.0,24.0,0.793,0.0592,0.0876,0.0173,0.0129973475,0.2591511936,0.7278514589
93,0.3773,7548.0,14796.0,7254.0,0.3944,1067.0,23.0,0.5738,0.2203,0.0295,0.0301,0.0161812298,0.3180767453,0.665742025
94,0.3532,29260.0,29260.0,6803.0,0.4021,984.0,21.0,0.4282,0.1218,0.3076,0.0303,0.056352459,0.3206967213,0.6229508197
95,0.366,5640.0,15360.0,5914.0,0.4934,995.0,21.0,0.5631,0.3939,0.0084,0.0075,0.0461320085,0.3491838183,0.6046841732
96,0.3922,16204.0,16204.0,3436.0,0.3944,966.0,21.0,0.4294,0.2081,0.1066,0.0112,0.0461725395,0.4349939247,0.5188335358
97,0.3482,7344.0,16560.0,5828.0,0.3776,901.0,19.0,0.7082,0.1693,0.0163,0.0059,0.019035533,0.4657360406,0.5152284264
98,0.4455,20486.0,20486.0,5517.0,0.4217,972.0,21.0,0.5277,0.1609,0.0225,0.0092,0.0256797583,0.3700906344,0.6042296073
99,0.1986,7754.0,18056.0,6401.0,0.5757,907.0,19.0,0.2906,0.5695,0.0241,0.0078,0.038585209,0.3617363344,0.5996784566
100,0.8253,13054.0,30488.0,9907.0,0.1782,1259.0,29.0,0.836,0.0626,0.0259,0.0177,0.0045855978,0.1662703804,0.8291440217
101,0.6834,8855.0,23935.0,11127.0,0.3341,1271.0,29.0,0.3621,0.0663,0.1111,0.2371,0.0461865157,0.2972925146,0.6565209697
102,0.5992,19800.0,19800.0,4290.0,0.1238,960.0,21.0,0.7273,0.0666,0.0211,0.0016,0.0336134454,0.4453781513,0.5210084034
103,0.4683,9105.0,22200.0,6444.0,0.4285,1001.0,21.0,0.6784,0.0364,0.0829,0.036,0.0527240773,0.3589630931,0.5883128295
104,0.529,29333.0,29333.0,6639.0,0.415,980.0,21.0,0.6708,0.1865,0.0713,0.011,0.0213740458,0.2778625954,0.7007633588
105,0.6101,32300.0,32300.0,6003.0,0.3297,1009.0,22.0,0.7094,0.1022,0.0804,0.0293,0.0299003322,0.2774086379,0.6926910299
106,0.4273,27010.0,27010.0,5511.0,0.416,971.0,21.0,0.6253,0.1004,0.1165,0.0115,0.0197109067,0.3561103811,0.6241787122
107,0.875,49248.0,49248.0,10885.0,0.202,1304.0,30.0,0.4887,0.0511,0.1562,0.1302,0.0222222222,0.1521367521,0.8256410256
108,0.3291,29150.0,29150.0,5641.0,0.512,923.0,19.0,0.6112,0.2835,0.0359,0.0072,0.0466883822,0.4136807818,0.539630836
109,0.3706,26498.0,26498.0,5853.0,0.3988,1011.0,22.0,0.6785,0.1091,0.1239,0.0074,0.0244498778,0.2811735941,0.6943765281
110,0.8412,46692.0,46692.0,11472.0,0.2114,1234.0,28.0,0.4496,0.0606,0.134,0.1302,0.015625,0.1829044118,0.8014705882
111,0.7039,6368.0,22467.0,9257.0,0.3858,1179.0,26.0,0.5325,0.1122,0.2404,0.0586,0.0286215742,0.3198775933,0.6515008325
112,0.5307,30998.0,30998.0,8356.0,0.317,1006.0,22.0,0.5727,0.2664,0.0513,0.0289,0.0194723618,0.3121859296,0.6683417085
113,0.7033,31250.0,31250.0,6520.0,0.2666,1069.0,24.0,0.7578,0.0479,0.0861,0.0225,0.0233118971,0.3424437299,0.634244373
114,0.4271,26910.0,26910.0,4449.0,0.3577,990.0,21.0,0.7834,0.0942,0.0314,0.0031,0.0195121951,0.3033259424,0.6771618625
115,0.4882,16022.0,16022.0,6943.0,0.333,1043.0,23.0,0.5621,0.1337,0.0392,0.0054,0.0158688178,0.3290134885,0.6551176937
116,0.43,7140.0,16728.0,7689.0,0.3991,959.0,21.0,0.6687,0.0834,0.1899,0.01,0.0494082284,0.3715949652,0.5789968063
117,0.4652,5804.0,15915.0,8190.0,0.6142,870.0,18.0,0.1394,0.7415,0.0329,0.0067,0.019012945,0.3345469256,0.6464401294
118,0.4962,4831.0,17276.0,9234.0,0.3895,1047.0,23.0,0.4191,0.1993,0.2665,0.0404,0.0408296232,0.3469432077,0.6122271691
119,0.2835,19330.0,19330.0,5100.0,0.414,943.0,20.0,0.6779,0.1442,0.0675,0.0052,0.0265486726,0.3296460177,0.6438053097
120,0.7688,31385.0,31385.0,8863.0,0.2023,1122.0,25.0,0.8383,0.0421,0.0269,0.0185,0.0043907794,0.1789242591,0.8166849616
121,0.4941,6752.0,20717.0,8068.0,0.3161,1115.0,24.0,0.8701,0.0071,0.0315,0.0103,0.0081696168,0.2419762692,0.749854114
122,0.5297,9348.0,20268.0,7855.0,0.35,1038.0,23.0,0.4906,0.0901,0.3461,0.0223,0.0400794495,0.3162374973,0.6436830531
123,0.3983,19970.0,19970.0,4327.0,0.5109,1033.0,22.0,0.3848,0.4451,0.0555,0.0133,0.0482936252,0.3496458467,0.602060528
124,0.4288,6690.0,20600.0,9986.0,0.3351,1003.0,22.0,0.3836,0.0762,0.2315,0.1634,0.0486069232,0.3745024726,0.5768906043
125,0.4146,10232.0,15618.0,7016.0,0.6275,862.0,19.0,0.014,0.8103,0.0152,0.0,0.0131578947,0.3618421053,0.625
126,0.6755,11646.0,21974.0,7985.0,0.1631,1152.0,25.0,0.7531,0.0806,0.0494,0.0246,0.0075801749,0.1930029155,0.7994169096
127,0.5056,27530.0,27530.0,8359.0,0.3751,1025.0,22.0,0.5681,0.1838,0.0684,0.0206,0.0228028504,0.3121140143,0.6650831354
128,0.5659,18240.0,18240.0,8887.0,0.2675,1054.0,23.0,0.8267,0.0484,0.0575,0.0167,0.0087134803,0.3136852896,0.6776012301
129,0.7946,37162.0,37162.0,7899.0,0.1947,1155.0,26.0,0.8263,0.0315,0.0433,0.0294,0.0158273381,0.1223021583,0.8618705036
130,0.138,5337.0,9982.0,5298.0,0.4093,950.0,20.0,0.7525,0.1522,0.0383,0.0126,0.0435193945,0.4427625355,0.51371807
131,0.4789,11413.0,20938.0,7455.0,0.3782,1068.0,23.0,0.6255,0.1561,0.0686,0.0375,0.0248868778,0.3257918552,0.649321267
132,0.4909,18500.0,18500.0,6088.0,0.5867,910.0,19.0,0.4435,0.3598,0.0606,0.0037,0.0214205186,0.3788049605,0.5997745209
133,0.4283,8074.0,8074.0,8296.0,0.1591,1010.0,22.0,0.8318,0.0363,0.0379,0.0227,0.0150554675,0.2583201268,0.7266244057
134,0.4175,5842.0,14210.0,9291.0,0.3489,969.0,21.0,0.9002,0.0433,0.0232,0.006,0.0135045015,0.3451150383,0.6413804602
135,0.3461,11814.0,25254.0,9961.0,0.4649,1070.0,23.0,0.5691,0.1917,0.0469,0.0824,0.0361907465,0.3325290945,0.631280159
136,0.6127,28250.0,28250.0,11274.0,0.2831,1050.0,24.0,0.7271,0.0638,0.0233,0.011,0.0087260035,0.2914485166,0.6998254799
137,0.3678,17650.0,17650.0,4790.0,0.5483,917.0,19.0,0.3989,0.4046,0.0357,0.0064,0.0262843489,0.3369175627,0.6367980884
138,0.3009,7092.0,13884.0,6801.0,0.4428,1041.0,23.0,0.6834,0.2382,0.0132,0.0055,0.0321042594,0.3706293706,0.59726637
139,0.4867,9842.0,20612.0,9463.0,0.2949,1257.0,28.0,0.7148,0.1131,0.0411,0.0414,0.0198237885,0.29030837,0.6898678414
140,0.4345,20000.0,20000.0,5417.0,0.4437,1019.0,22.0,0.7987,0.0828,0.0233,0.0026,0.0245829675,0.4486391572,0.5267778753
141,0.3145,30835.0,30835.0,6037.0,0.5706,881.0,18.0,0.5211,0.3396,0.0474,0.006,0.0223214286,0.3627232143,0.6149553571
142,0.5049,21350.0,21350.0,6332.0,0.4699,968.0,21.0,0.7309,0.0918,0.0428,0.014,0.0226969292,0.3230974633,0.6542056075
143,0.2433,7367.0,15356.0,6419.0,0.4116,970.0,21.0,0.6697,0.0907,0.1448,0.0345,0.0423398329,0.3671309192,0.5905292479
144,0.5822,39560.0,39560.0,7845.0,0.3412,1104.0,25.0,0.6809,0.0948,0.082,0.05,0.0170278638,0.3111455108,0.6718266254
145,0.5993,24728.0,24728.0,7135.0,0.4004,1086.0,24.0,0.7264,0.1873,0.0431,0.0063,0.0413661122,0.4353010452,0.5233328426
146,0.6932,8863.0,19752.0,8028.0,0.255,1114.0,25.0,0.7534,0.0156,0.068,0.0641,0.0164274924,0.2443353474,0.7392371601
147,0.7886,13200.0,34965.0,10802.0,0.227,1158.0,26.0,0.6813,0.0675,0.0384,0.0434,0.0094761309,0.1996245307,0.7908993385
148,0.419,23800.0,23800.0,6520.0,0.5685,909.0,23.0,0.2189,0.3032,0.2861,0.0838,0.0561674009,0.3193832599,0.6244493392
149,0.6897,37500.0,37500.0,7334.0,0.2033,1013.0,21.0,0.6821,0.1242,0.0907,0.028,0.0129107981,0.2159624413,0.7711267606
150,0.4371,16720.0,16720.0,5147.0,0.5062,928.0,20.0,0.0059,0.8514,0.0234,0.0016,0.0236024845,0.1577639752,0.8186335404
151,0.4027,10580.0,15788.0,6460.0,0.3913,1027.0,22.0,0.801,0.0124,0.0191,0.0057,0.0120845921,0.3192346425,0.6686807654
152,0.4724,23300.0,23300.0,6144.0,0.5635,1030.0,22.0,0.624,0.0293,0.1367,0.0586,0.0305039788,0.3859416446,0.5835543767
153,0.6723,41000.0,41000.0,7254.0,0.3125,1145.0,25.0,0.7271,0.0658,0.0899,0.0219,0.0218068536,0.2133956386,0.7647975078
154,0.4193,7816.0,14714.0,8286.0,0.3245,1049.0,23.0,0.7773,0.0275,0.0269,0.0131,0.0098502758,0.2096138692,0.780535855
155,0.3271,13680.0,13680.0,4810.0,0.3548,911.0,20.0,0.4214,0.1685,0.279,0.018,0.0703211517,0.3842746401,0.5454042082
156,0.397,29900.0,29900.0,6440.0,0.3486,971.0,21.0,0.5182,0.0762,0.0242,0.0058,0.0353089533,0.395964691,0.5687263556
157,0.5321,13624.0,24646.0,7053.0,0.2987,1027.0,23.0,0.8481,0.0398,0.0152,0.0159,0.0064927796,0.2031792231,0.7903279973
158,0.8064,9830.0,34836.0,11172.0,0.2602,1296.0,29.0,0.4603,0.0413,0.2192,0.1895,0.0334496204,0.220911143,0.7456392366
159,0.7259,43680.0,43680.0,12430.0,0.2836,1251.0,28.0,0.3257,0.0585,0.1553,0.13,0.0732026144,0.2405228758,0.6862745098
160,0.2671,5153.0,14915.0,6019.0,0.5781,939.0,20.0,0.2056,0.6498,0.0157,0.0448,0.0397608371,0.376083707,0.5841554559
161,0.5313,12655.0,16926.0,8706.0,0.4658,970.0,21.0,0.6011,0.2078,0.1162,0.0087,0.0316014997,0.3454740225,0.6229244778
162,0.3014,6700.0,17778.0,6539.0,0.3439,950.0,20.0,0.8579,0.0602,0.0288,0.014,0.0233380481,0.4024045262,0.5742574257
163,0.1104,9994.0,16954.0,7392.0,0.7078,875.0,18.0,0.0273,0.7518,0.0768,0.0055,0.0700466978,0.3542361574,0.5757171448
164,0.7224,7932.0,17782.0,6597.0,0.3116,1082.0,24.0,0.7665,0.0375,0.1247,0.0233,0.0171548117,0.2405857741,0.7422594142
165,0.387,26344.0,26344.0,4881.0,0.3493,943.0,20.0,0.6496,0.2215,0.0167,0.0156,0.018018018,0.3849303849,0.5970515971
166,0.7701,44178.0,44178.0,10495.0,0.1717,1249.0,28.0,0.6747,0.0241,0.0993,0.0439,0.0227703985,0.1625553447,0.8146742568
167,0.5258,32270.0,32270.0,7018.0,0.4061,986.0,21.0,0.7025,0.1101,0.0858,0.0166,0.0302474794,0.4197983501,0.5499541705
168,0.7776,41597.0,41597.0,10215.0,0.1979,1218.0,28.0,0.4672,0.0579,0.2192,0.107,0.0214387804,0.1734159123,0.8051453073
169,0.5237,28910.0,28910.0,7070.0,0.3578,973.0,21.0,0.5383,0.0958,0.3211,0.0056,0.031626506,0.3237951807,0.6445783133
170,0.715,11091.0,34125.0,10687.0,0.1723,1212.0,27.0,0.7059,0.0164,0.1062,0.0542,0.0202784504,0.1761501211,0.8035714286
171,0.5139,6610.0,20520.0,9233.0,0.2884,1081.0,24.0,0.646,0.0354,0.1631,0.0656,0.037702915,0.3351370222,0.6271600628
172,0.5027,14295.0,23761.0,7956.0,0.4452,1029.0,22.0,0.5718,0.1596,0.1542,0.0501,0.039707419,0.3325869533,0.6277056277
173,0.6226,6560.0,17720.0,9422.0,0.4627,1017.0,22.0,0.2041,0.0199,0.4186,0.2134,0.1153696498,0.3790856031,0.5055447471
174,0.5871,6536.0,17696.0,8259.0,0.3762,1080.0,24.0,0.5785,0.0239,0.1561,0.0824,0.024122807,0.2105263158,0.7653508772
175,0.3506,37272.0,37272.0,7721.0,0.3948,1037.0,24.0,0.7063,0.0774,0.0856,0.0179,0.0182815356,0.310786106,0.6709323583
176,0.5819,14810.0,28390.0,7697.0,0.4051,1039.0,23.0,0.5772,0.3035,0.0505,0.0121,0.0155963303,0.2665137615,0.7178899083
177,0.4575,22740.0,22740.0,4924.0,0.4818,989.0,22.0,0.7403,0.1609,0.0397,0.0116,0.012775842,0.362369338,0.62485482
178,0.8592,45874.0,45874.0,9067.0,0.1462,1247.0,28.0,0.6349,0.0359,0.0854,0.0578,0.0190114068,0.108365019,0.8726235741
179,0.5068,9519.0,21711.0,11173.0,0.3743,1152.0,26.0,0.2499,0.1011,0.3339,0.223,0.0752949341,0.3296321999,0.5950728661
180,0.7613,16552.0,29532.0,11336.0,0.225,1104.0,25.0,0.8125,0.0119,0.0309,0.0212,0.0057793923,0.1809775429,0.8132430647
